Ref,Val,Package,PosX,PosY,Rot,Side
"R1","4.7k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",-136.400000,-77.200000,90.000000,bottom
"R2","150R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",-136.400000,-82.400000,90.000000,bottom
"R3","4.7k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",-132.800000,-77.200000,90.000000,bottom
"R4","150R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",-132.800000,-82.450000,90.000000,bottom
"R5","4.7k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",-118.650000,-88.200000,0.000000,bottom
"R6","150R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",-113.350000,-88.200000,0.000000,bottom
"R7","4.7k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",-99.700000,-77.000000,90.000000,bottom
"R8","150R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",-99.700000,-82.200000,90.000000,bottom
"R9","4.7k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",-96.000000,-77.000000,90.000000,bottom
"R10","150R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",-96.000000,-82.200000,90.000000,bottom
